/* DATA DESCRIPTION:
Citation:	Gerdts, Gunnar (2010): Bacteria at time series station Helgoland Roads, North Sea, in 1970 [dataset]. Alfred Wegener Institute - Biological Institute Helgoland, PANGAEA, https://doi.org/10.1594/PANGAEA.743153, 
	In: Gerdts, Gunnar (2024): Bacteria at time series station Helgoland Roads, North Sea from 1962 to 2002 [dataset publication series]. Alfred Wegener Institute - Biological Institute Helgoland, PANGAEA, https://doi.org/10.1594/PANGAEA.959956
Project(s):	Macrobenthic long-term series in the German Bight (LTER_Benthos) (URI: https://www.awi.de/en/science/long-term-observations/biology/north-sea.html)
	Shelf Seas Systems Ecology @ AWI (former Biologische Anstalt Helgoland) (BAH) (URI: https://www.awi.de/en/science/biosciences/shelf-sea-system-ecology.html)
Coverage:	LATITUDE: 54.188330 * LONGITUDE: 7.900000
	DATE/TIME START: 1970-01-05T09:50:00 * DATE/TIME END: 1970-12-23T09:00:00
	MINIMUM DEPTH, water: 1 m * MAXIMUM DEPTH, water: 1 m
Event(s):	HelgolandRoads1970 (Kabeltonne) * LATITUDE: 54.188330 * LONGITUDE: 7.900000 * DATE/TIME START: 1970-01-01T00:00:00 * DATE/TIME END: 1970-12-31T23:59:00 * ELEVATION: -10.0 m * DEIMS ID: https://deims.org/1e96ef9b-0915-4661-849f-b3a72f5aa9b1 * O2A Registry URI: https://registry.o2a-data.de/items/8674 * LOCATION: German Bight, North Sea * CAMPAIGN: LTER_HelgolandRoads (Kabeltonne, Long-term Ecological Research Helgoland Roads) * BASIS: Marine Station Helgoland (URI: https://www.awi.de/en/about-us/sites/helgoland.html) * METHOD/DEVICE: Monitoring (MON)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	DEPTH, water [m] (Depth water) * GEOCODE
	Temperature, water [°C] (Temp) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Mercury thermometer, in situ
	Salinity (Sal) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Salinometer, inductive * COMMENT: PSU
	Bacteria, marine, cultivable [#/ml] (Bact mar culti) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Plate counts
	Bacteria, freshwater, cultivable [#/ml] (Bact fw culti) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Plate counts
	Yeasts [#/l] (Yeasts) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Plate counts
	Oxygen [µmol/l] (O2) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Oxygen, Winkler (Culberson, 1991, WOCE Report 68/91)
	Biological oxygen demand [µmol/l] (BOD) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Oxygen, Winkler (Culberson, 1991, WOCE Report 68/91) * COMMENT: 14 days; with nutrient addition
	Biological oxygen demand [µmol/l] (BOD) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Oxygen, Winkler (Culberson, 1991, WOCE Report 68/91) * COMMENT: 14 days; without nutrient addition
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	685 data points
*/
Date/Time	Depth water [m]	Temp [°C] (Mercury thermometer, in situ)	Sal (PSU, Salinometer, inductive)	Bact mar culti [#/ml] (Plate counts)	Bact fw culti [#/ml] (Plate counts)	Yeasts [#/l] (Plate counts)	O2 [µmol/l] (Oxygen, Winkler (Culberson, 1...)	BOD [µmol/l] (14 days; with nutrient additi...)	BOD [µmol/l] (14 days; without nutrient add...)
1970-01-05T09:50	1	3.8	34.20	210	59		312.5	120.6	308.15
1970-01-07T09:50	1	3.7	34.20	155	50	16			
1970-01-12T09:30	1	3.8	34.40	114	39		300.0	62.5	174.17
1970-01-14T09:00	1	3.9	34.40	82	16				
1970-01-19T09:50	1	2.3	34.40	160	23		321.9	93.8	156.31
1970-01-21T09:10	1	1.9	34.10	115	24	251			
1970-01-23T09:00	1	9.5	32.70	780	49		265.6	62.5	254.56
1970-01-26T09:40	1	2.3	34.20	112	25	17	331.2	116.1	156.31
1970-01-28T09:30	1	2.2	34.10	173	25				
1970-01-30T09:40	1	1.9	34.00	141	68				
1970-02-02T14:30	1	1.5	34.10	355	203		318.8	80.4	111.65
1970-02-04T08:40	1	2.2	34.20	1620	43	56			
1970-02-06T09:35	1	1.3	33.70	1430	227				
1970-02-09T10:10	1	1.8	34.00	940	157		328.1	89.3	218.83
1970-02-11T09:05	1	1.5	33.90	1050	157	37			
1970-02-13T09:35	1	0.9	33.90	1060	137				
1970-02-16T09:00	1	0.8	33.70	640	118		340.6	102.7	196.50
1970-02-18T09:10	1	0.1	33.30	2240	260	17			
1970-02-20T09:30	1	0.8	33.60	1460	260				
1970-02-23T09:25	1	1.0	33.60	1310	147		346.9	107.2	200.97
1970-02-25T09:15	1	1.2	33.60	1300	121	9			
1970-02-27T09:00	1	0.8	33.40	1440	218				
1970-03-02T09:10	1	0.7	33.00	2220	800		350.0	107.2	196.50
1970-03-04T09:00	1	0.6	32.50	2530	117	46			
1970-03-06T09:10	1	0.7	32.60	2750	750				
1970-03-09T09:00	1	0.7	32.50	2400	222		346.9	120.6	133.98
1970-03-11T09:00	1	0.7	32.60	2420	288	30			
1970-03-13T09:00	1	0.9	32.20	2450	266				
1970-03-16T08:55	1	0.9	29.70	4190	383		356.2	151.8	187.57
1970-03-18T08:45	1	1.5	32.40	2390	198	33			
1970-03-20T09:00	1	1.6	32.30	2250	264				
1970-03-23T08:50	1	1.6	31.60	2890	251		340.6	120.6	174.17
1970-03-25T09:10	1	1.7	31.20	3980					
1970-04-01T09:10	1	2.4	29.20	6400	1740		337.5	134.0	200.97
1970-04-03T09:15	1	2.6	30.00	4650	1200	44			
1970-04-06T09:10	1	2.8	28.70	9300	1870		337.5	142.9	187.57
1970-04-08T09:15	1	3.0	27.20	6150	2890	104			
1970-04-10T09:00	1	3.1	28.70	8400	3050				
1970-04-13T09:00	1	3.4	27.30	9900	2300		343.8	165.2	223.30
1970-04-15T09:05	1	3.7	24.90	11000	4340	132			
1970-04-17T09:00	1	4.1	29.80	3970	1170				
1970-04-20T09:00	1	4.8	29.70	5400	293		334.4	125.0	183.11
1970-04-22T09:20	1	4.9	31.10	3110	255	21			
1970-04-24T09:15	1	4.4	31.70	1910	181				
1970-04-27T09:05	1	5.0	31.60	1390	167		318.8	93.8	245.63
1970-04-29T09:00	1	5.4	30.90	2030	236	30			
1970-05-04T09:10	1	7.5	26.70	5100	1510		315.6	93.8	151.84
1970-05-06T09:15	1	7.1	30.00	3430	328	45			
1970-05-08T09:10	1	7.0	30.60	3070	950				
1970-05-11T09:10	1	8.2	34.70	2930	660		309.4	93.8	169.71
1970-05-13T09:00	1	9.2	27.80	3690	1300	25			
1970-05-15T09:10	1	10.1	27.30	3290	810				
1970-05-20T09:00	1	9.7	29.60	1490	155	14	300.0	120.6	200.97
1970-05-22T09:20	1	8.8	30.80	1630	118				
1970-05-25T09:20	1	10.8	27.90	3320	244		300.0	107.2	183.11
1970-05-27T09:00	1	10.0	29.20	2000	132	29			
1970-05-29T08:45	1	11.2	26.80	3160	218				
1970-06-01T09:00	1	10.9	29.10	2250	176		284.4	107.2	142.91
1970-06-03T09:00	1	10.6	29.40	1260	83	4			
1970-06-05T09:30	1	12.4	27.70	2230	95				
1970-06-07T09:00	1	11.2	31.80	622	22		325.0	455.5	460.00
1970-06-08T09:05	1	13.5	26.80	2270	142		284.4	98.3	174.17
1970-06-10T09:10	1	13.7	27.60	2790	164	9			
1970-06-12T09:25	1	14.3	27.90	1650	136				
1970-06-15T09:30	1	12.1	26.90	1180	67		300.0	196.5	263.49
1970-06-19T09:00	1	16.0	28.90	1490	31	137			
1970-06-22T09:00	1	16.8	29.00	1470	87		287.5	102.7	111.65
1970-06-24T09:00	1	15.7	28.90	1100	68	35			
1970-06-26T09:00	1	14.7	29.50	1290	50				
1970-06-29T09:20	1	15.1	29.60	1030	40				
1970-07-01T09:15	1	14.1	29.90	1260	28	25			
1970-07-03T09:10	1	14.3	29.90	390	24				
1970-07-06T09:05	1	13.6	30.70	150	47				
