/* DATA DESCRIPTION:
Citation:	Gerdts, Gunnar (2010): Bacteria at time series station Helgoland Roads, North Sea, in 1999 [dataset]. Alfred Wegener Institute - Biological Institute Helgoland, PANGAEA, https://doi.org/10.1594/PANGAEA.743181, 
	In: Gerdts, Gunnar (2024): Bacteria at time series station Helgoland Roads, North Sea from 1962 to 2002 [dataset publication series]. Alfred Wegener Institute - Biological Institute Helgoland, PANGAEA, https://doi.org/10.1594/PANGAEA.959956
Project(s):	Macrobenthic long-term series in the German Bight (LTER_Benthos) (URI: https://www.awi.de/en/science/long-term-observations/biology/north-sea.html)
	Shelf Seas Systems Ecology @ AWI (former Biologische Anstalt Helgoland) (BAH) (URI: https://www.awi.de/en/science/biosciences/shelf-sea-system-ecology.html)
Coverage:	LATITUDE: 54.188330 * LONGITUDE: 7.900000
	DATE/TIME START: 1999-01-06T07:50:00 * DATE/TIME END: 1999-12-29T07:40:00
	MINIMUM DEPTH, water: 1 m * MAXIMUM DEPTH, water: 1 m
Event(s):	HelgolandRoads1999 (Kabeltonne) * LATITUDE: 54.188330 * LONGITUDE: 7.900000 * DATE/TIME START: 1999-01-01T00:00:00 * DATE/TIME END: 1999-12-31T23:59:00 * ELEVATION: -10.0 m * DEIMS ID: https://deims.org/1e96ef9b-0915-4661-849f-b3a72f5aa9b1 * O2A Registry URI: https://registry.o2a-data.de/items/8674 * LOCATION: German Bight, North Sea * CAMPAIGN: LTER_HelgolandRoads (Kabeltonne, Long-term Ecological Research Helgoland Roads) * BASIS: Marine Station Helgoland (URI: https://www.awi.de/en/about-us/sites/helgoland.html) * METHOD/DEVICE: Monitoring (MON)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE
	DEPTH, water [m] (Depth water) * GEOCODE
	Temperature, water [°C] (Temp) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Mercury thermometer, in situ
	Salinity (Sal) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Salinometer, inductive * COMMENT: PSU
	Bacteria [#/ml] (Bact) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Acridine Orange Direct Counting (AODC) (URI: https://en.wikipedia.org/wiki/Acridine_orange)
	Flagellates [#/l] (Flag) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Acridine Orange Direct Counting (AODC) (URI: https://en.wikipedia.org/wiki/Acridine_orange)
	Bacteria, marine, cultivable [#/ml] (Bact mar culti) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Surface inoculation * COMMENT: full medium 2216E
	Bacteria, marine, cultivable [#/ml] (Bact mar culti) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Surface inoculation * COMMENT: 1/10 2216E
	Bacteria, freshwater, cultivable [#/ml] (Bact fw culti) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Surface inoculation * COMMENT: full medium 2216E
	Bacteria, freshwater, cultivable [#/ml] (Bact fw culti) * PI: Gerdts, Gunnar (https://orcid.org/0000-0003-0872-3927, Gunnar.Gerdts@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/gunnar-gerdts.html) * METHOD/DEVICE: Surface inoculation * COMMENT: 1/10 2216E
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	374 data points
*/
Date/Time	Depth water [m]	Temp [°C] (Mercury thermometer, in situ)	Sal (PSU, Salinometer, inductive)	Bact [#/ml] (Acridine Orange Direct Counti...)	Flag [#/l] (Acridine Orange Direct Counti...)	Bact mar culti [#/ml] (full medium 2216E, Surface in...)	Bact mar culti [#/ml] (1/10 2216E, Surface inoculation)	Bact fw culti [#/ml] (full medium 2216E, Surface in...)	Bact fw culti [#/ml] (1/10 2216E, Surface inoculation)
1999-01-06T07:50	1	6.1	33.29	206302	265	572	1761	116	259
1999-01-13T07:40	1	4.7	32.53	264014	796	840	1653	36	63
1999-01-20T08:30	1	5.5	33.10	181758	796	492	822	18	27
1999-01-27T07:40	1	5.2	32.37	117911	398	36	161	18	9
1999-02-03T07:20	1	5.3	32.44	233334	597	179	1769	429	98
1999-02-10T07:50	1	3.9	29.43	542289	769				
1999-02-17T07:55	1	4.1	31.46	367662	597	742	3700	1912	1421
1999-02-24T07:50	1	4.2	31.29	325871	995	375	4236	1618	429
1999-03-03T06:25	1	4.6	31.16	338309	597	1332	3852	1930	402
1999-03-10T07:00	1	4.8	32.74	236816	597	831	2529	1698	45
1999-03-17T07:15	1	4.8	32.13	276120	597	3584	480	4194	286
1999-03-24T07:20	1	5.5	32.69	428856	597	1394	1805	36	0
1999-03-30T06:30	1	6.1	32.60	381427	265	688	1492	18	63
1999-04-07T06:45	1	6.4	32.77	236153	265	786	2270	500	36
1999-04-14T06:45	1	7.1	32.04	218906	531	751	3620	393	18
1999-04-21T06:50	1	7.5	31.39	975126	1562	1662	6918	44	27
1999-04-29T06:25	1	9.0	30.15	829852	796	1483	6523	45	27
1999-05-05T06:15	1	9.3	29.85	692538	1592	159	6989	53	18
1999-05-12T05:10	1	9.7	32.27	945275	796	1743	4262	9	71
1999-05-19T06:05	1	10.3	31.59	897514	2388	590	9247	27	36
1999-05-25T12:05	1	11.0	32.49	782091	1592	492	4695	54	0
1999-06-02T06:15	1	12.7	31.38	2001993	2388	2222	7455	9	0
1999-06-09T06:35	1	12.3	32.90	1623883	3184	268	15448	0	9
1999-06-16T05:45	1	13.5	32.89	1771147	1592	179	15972	304	0
1999-06-23T06:45	1	14.2	32.35	1279604	796	197	15105	63	18
1999-06-30T05:35	1	15.3	32.42	1140300	3980	322	15625	36	9
1999-07-07T06:35	1	15.6	32.60	1108459	1592	197	14583	71	0
1999-07-14T06:10	1	17.3	32.47	2222888	2388	626	19097	9	0
1999-07-21T06:40	1	17.2	32.63	1916420	2388	2395	3978	188	0
1999-07-28T06:15	1	18.1	31.31	1432838	3184	786	14931	80	0
1999-08-04T06:00	1	18.4	31.94	1048758	1592	1439	11285	89	27
1999-08-10T06:15	1	18.5	32.47	1026867	2388	912	10590	18	0
1999-08-18T06:00	1		32.22	1108459	2388	1645	7118	53	9
1999-08-25T07:10	1		32.22	574130	796	670	6272	0	36
1999-09-01T07:00	1			593036	796	2172	4480	313	116
1999-09-08T06:50	1			556220	1194	760	3620	0	9
1999-09-16T06:30	1			359204	796	474	1828	0	0
1999-09-22T05:40	1			276617	1061	626	2150	9	0
1999-09-29T06:10	1			423218	265	983	4647	9	45
1999-10-06T07:05	1			578442	796	1626	4409	98	45
1999-10-13T06:50	1			375457	265	4767	10679	152	188
1999-10-19T06:30	1			321725	531	447	2437	18	9
1999-10-27T07:15	1			351576	796	5689	12375	724	634
1999-11-02T07:50	1			267330	531	2109	4933	232	232
1999-11-10T08:15	1			298508	265	1385	2581	80	98
1999-11-17T08:00	1			297181	531	850	1466	36	9
1999-11-24T08:05	1			273964	531	643	1591	170	63
1999-12-02T08:25	1			161194	398	1106	3324	197	188
1999-12-08T08:15	1			156717	597	760	1680	45	36
1999-12-15T07:45	1			368160	478	2437	4408	212	159
1999-12-22T07:14	1			316418	637	438	1126	125	80
1999-12-29T07:40	1			382886	796	232	742	45	71
